PC1	PC2	PC3	PC4	Individual	Dataset	Region
21.8326	24.7063	1.53384	-5.6718	0	HGDP	Africa
20.7761	22.5076	2.74235	-5.24257	1	HGDP	Africa
17.2941	22.9256	1.40554	-3.13666	2	HGDP	Africa
25.2833	24.2736	1.97	-5.37298	3	HGDP	Africa
19.5743	22.941	2.06098	-5.55148	4	HGDP	Africa
26.1488	23.8227	2.79734	-4.92194	5	HGDP	Africa
27.0552	25.3204	2.2868	-5.28209	6	HGDP	Africa
49.6853	26.846	1.01974	-3.78309	7	HGDP	Africa
25.0328	23.5693	2.07435	-4.81514	8	HGDP	Africa
14.6905	21.6031	2.95034	-5.56147	9	HGDP	Africa
20.164	23.3944	2.01863	-5.50758	10	HGDP	Africa
21.0175	24.0019	2.51044	-5.93774	11	HGDP	Africa
22.3973	23.7389	2.13232	-5.331	12	HGDP	Africa
21.3167	22.7423	2.48451	-5.78863	13	HGDP	Africa
23.0962	23.754	2.78471	-6.33219	14	HGDP	Africa
22.2094	22.7916	1.51559	-5.62405	15	HGDP	Africa
118.202	39.8726	-0.424197	-1.48769	16	HGDP	Africa
92.7166	35.1162	0.240342	-2.04578	17	HGDP	Africa
18.6291	22.6789	2.50809	-5.43	18	HGDP	Africa
21.3786	21.642	1.74684	-5.5618	19	HGDP	Africa
34.0152	24.765	1.69229	-5.06989	20	HGDP	Africa
20.411	22.937	2.26911	-5.73128	21	HGDP	Africa
25.8379	24.1469	1.63595	-5.6385	22	HGDP	Africa
23.1507	23.0747	2.14689	-5.00694	23	HGDP	Africa
19.8742	22.7128	1.95322	-5.46313	24	HGDP	Africa
21.6612	23.438	2.88102	-5.70811	25	HGDP	Africa
21.5094	23.7437	2.23169	-5.62948	26	HGDP	Africa
18.6315	22.9731	2.10159	-5.88467	27	HGDP	Africa
18.3282	-79.2346	-41.8857	-1.75275	70	HGDP	NorthAmerica
16.7696	-78.9107	-41.4486	-1.88741	71	HGDP	NorthAmerica
21.344	-83.5739	-44.9422	-2.12763	72	HGDP	NorthAmerica
17.3658	-82.3637	-41.2237	-1.83372	73	HGDP	NorthAmerica
19.4554	-89.352	-43.8937	-1.73008	74	HGDP	NorthAmerica
20.6548	-88.3779	-43.5265	-1.89713	75	HGDP	NorthAmerica
18.5945	-84.0321	-42.3646	-1.71574	76	HGDP	NorthAmerica
19.2518	-88.6999	-43.0955	-1.94333	77	HGDP	NorthAmerica
20.4419	-88.062	-43.9634	-1.73053	78	HGDP	NorthAmerica
20.9026	-88.1981	-44.0049	-1.97655	79	HGDP	NorthAmerica
17.1554	-79.9697	-40.403	-1.84962	80	HGDP	NorthAmerica
10.5104	-43.6414	9.53925	-0.714809	84	HGDP	Asia
4.80025	-31.9933	8.07211	-0.900833	85	HGDP	Asia
11.7412	-41.079	10.342	-0.224339	86	HGDP	Asia
11.9949	-43.8189	9.40875	-0.110405	87	HGDP	Asia
4.27431	-29.1476	6.76921	-0.8769	88	HGDP	Asia
9.28196	-41.5732	8.96919	-0.0997999	89	HGDP	Asia
8.21373	-37.2461	9.15822	-0.965837	90	HGDP	Asia
12.228	-45.7733	10.0421	-0.502977	91	HGDP	Asia
11.6417	-43.04	8.99475	-0.0659667	92	HGDP	Asia
10.6846	-42.299	8.77229	-0.537031	93	HGDP	Asia
6.62706	-34.5105	8.61501	-0.185842	94	HGDP	Asia
7.89519	-38.3557	9.83739	-0.54726	95	HGDP	Asia
10.6308	-41.3965	9.57975	-0.567747	96	HGDP	Asia
8.38447	-38.5732	8.89274	-0.363313	97	HGDP	Asia
10.7932	-41.7973	9.90803	-0.548024	98	HGDP	Asia
9.9791	-42.104	9.87922	-0.17488	99	HGDP	Asia
-1.06885	-19.2248	5.87375	-2.14164	100	HGDP	Asia
31.0987	-84.5895	13.5617	0.922622	101	HGDP	Asia
32.6756	-85.3682	18.1042	1.22025	102	HGDP	Asia
32.0015	-84.7903	15.8088	0.989722	103	HGDP	Asia
30.0182	-84.3171	14.1429	0.970604	104	HGDP	Asia
30.5987	-83.3762	15.269	1.05962	105	HGDP	Asia
33.1167	-86.3257	16.6382	1.08608	106	HGDP	Asia
31.054	-84.9991	16.1059	1.17579	107	HGDP	Asia
29.7092	-84.3901	12.2742	1.61327	108	HGDP	Asia
30.3744	-83.5609	17.1871	0.621637	109	HGDP	Asia
30.8083	-82.6351	18.304	0.492142	110	HGDP	Asia
32.6558	-83.6103	18.2113	1.09075	111	HGDP	Asia
32.095	-84.8754	19.6055	0.800609	112	HGDP	Asia
25.6016	-73.9239	13.1622	1.13916	113	HGDP	Asia
30.1188	-81.0176	18.9303	1.0725	114	HGDP	Asia
30.9778	-82.4299	18.4247	1.25966	115	HGDP	Asia
26.9526	-74.8137	13.7912	1.11436	116	HGDP	Asia
26.9479	-76.057	14.1843	1.02463	117	HGDP	Asia
31.3943	-84.3432	19.0161	0.867166	118	HGDP	Asia
33.7712	-82.8838	18.8478	0.423418	119	HGDP	Asia
8.10247	-37.4185	8.31908	-0.293437	120	HGDP	Asia
4.53811	-33.3998	8.23897	-0.262955	121	HGDP	Asia
7.02339	-40.152	9.37501	0.161931	122	HGDP	Asia
6.36344	-37.0006	7.81048	-0.230769	123	HGDP	Asia
9.60397	-40.5087	9.1016	0.0539257	124	HGDP	Asia
12.8749	-51.2	10.6226	0.655699	125	HGDP	Asia
